Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Cli, 11, 10%, Ekstazi+random, 0.08333333333333333, 2.0, 0.041666666666666664, 0.0951388888888889, NA, NA, 27, 0, 3
Cli, 11, 10%, FAST-pw, 0.08333333333333333, 2.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 10%, Fastazi-S, 0.08333333333333333, 2.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 10%, Fastazi-P, 0.08333333333333333, 2.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 10%, Random, 0.08333333333333333, 2.0, 0.025, 0.09375, NA, NA, 27, 0, 3
Cli, 11, 20%, Ekstazi+random, 0.16666666666666666, 4.0, 0.0875, 0.15347222222222223, NA, NA, 25, 0, 5
Cli, 11, 20%, FAST-pw, 0.16666666666666666, 4.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 20%, Fastazi-S, 0.16666666666666666, 4.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 20%, Fastazi-P, 0.16666666666666666, 4.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 20%, Random, 0.16666666666666666, 4.0, 0.08333333333333333, 0.18055555555555555, NA, NA, 24, 0, 6
Cli, 11, 25%, Ekstazi+random, 0.25, 6.0, 0.1138888888888889, 0.15347222222222223, NA, NA, 25, 0, 5
Cli, 11, 25%, FAST-pw, 0.25, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 25%, Fastazi-S, 0.25, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 25%, Fastazi-P, 0.25, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 25%, Random, 0.25, 6.0, 0.15, 0.2875, NA, NA, 20, 0, 10
Cli, 11, 30%, Ekstazi+random, 0.29166666666666674, 7.0, 0.13095238095238096, 0.2506944444444445, NA, NA, 21, 0, 9
Cli, 11, 30%, FAST-pw, 0.29166666666666674, 7.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 30%, Fastazi-S, 0.29166666666666674, 7.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 30%, Fastazi-P, 0.29166666666666674, 7.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 30%, Random, 0.29166666666666674, 7.0, 0.17857142857142852, 0.31180555555555556, NA, NA, 19, 0, 11
Cli, 11, 40%, Ekstazi+random, 0.375, 9.0, 0.17777777777777776, 0.3166666666666667, NA, NA, 18, 0, 12
Cli, 11, 40%, FAST-pw, 0.375, 9.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 40%, Fastazi-S, 0.375, 9.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 40%, Fastazi-P, 0.375, 9.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 40%, Random, 0.375, 9.0, 0.22222222222222224, 0.3333333333333333, NA, NA, 18, 0, 12
Cli, 11, 50%, Ekstazi+random, 0.5, 12.0, 0.25416666666666665, 0.4104166666666666, NA, NA, 13, 0, 17
Cli, 11, 50%, FAST-pw, 0.5, 12.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 50%, Fastazi-S, 0.5, 12.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 50%, Fastazi-P, 0.5, 12.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 50%, Random, 0.5, 12.0, 0.2833333333333333, 0.4083333333333333, NA, NA, 14, 0, 16
Cli, 11, 60%, Ekstazi+random, 0.5833333333333335, 14.0, 0.2988095238095238, 0.4104166666666666, NA, NA, 13, 0, 17
Cli, 11, 60%, FAST-pw, 0.5833333333333335, 14.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 60%, Fastazi-S, 0.5833333333333335, 14.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 60%, Fastazi-P, 0.5833333333333335, 14.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 60%, Random, 0.5833333333333335, 14.0, 0.32023809523809527, 0.42291666666666666, NA, NA, 13, 0, 17
Cli, 11, 70%, Ekstazi+random, 0.6666666666666666, 16.0, 0.334375, 0.4340277777777777, NA, NA, 11, 0, 19
Cli, 11, 70%, FAST-pw, 0.6666666666666666, 16.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 70%, Fastazi-S, 0.6666666666666666, 16.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 70%, Fastazi-P, 0.6666666666666666, 16.0, 0.0, 0.0, NA, NA, 30, 0, 0
Cli, 11, 70%, Random, 0.6666666666666666, 16.0, 0.35625, 0.4597222222222222, NA, NA, 10, 0, 20
Cli, 11, 75%, Ekstazi+random, 0.75, 18.0, 0.37222222222222234, 0.46249999999999997, NA, NA, 8, 0, 22
Cli, 11, 75%, FAST-pw, 0.75, 18.0, 0.027777777777777787, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 75%, Fastazi-S, 0.75, 18.0, 0.027777777777777787, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 75%, Fastazi-P, 0.75, 18.0, 0.027777777777777787, 0.2708333333333332, 18.0, 0.75, 0, 1, 30
Cli, 11, 75%, Random, 0.75, 18.0, 0.3935185185185185, 0.47013888888888883, NA, NA, 9, 0, 21
Cli, 11, 80%, Ekstazi+random, 0.7916666666666669, 19.0, 0.3956140350877193, 0.5006944444444443, NA, NA, 3, 0, 27
