Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Closure, 9, 10%, Ekstazi+random, 0.09745762711864404, 23.0, 0.05869565217391304, 0.09597457627118645, NA, NA, 27, 0, 3
Closure, 9, 10%, FAST-pw, 0.09745762711864404, 23.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 10%, Fastazi-S, 0.09745762711864404, 23.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 10%, Fastazi-P, 0.09745762711864404, 23.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 10%, Random, 0.09745762711864404, 23.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 20%, Ekstazi+random, 0.19915254237288144, 47.0, 0.09999999999999999, 0.18008474576271186, NA, NA, 24, 0, 6
Closure, 9, 20%, FAST-pw, 0.19915254237288144, 47.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 20%, Fastazi-S, 0.19915254237288144, 47.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 20%, Fastazi-P, 0.19915254237288144, 47.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 20%, Random, 0.19915254237288144, 47.0, 0.034397163120567384, 0.08693502824858758, NA, NA, 27, 0, 3
Closure, 9, 25%, Ekstazi+random, 0.25, 59.0, 0.12909604519774012, 0.25727401129943506, NA, NA, 21, 0, 9
Closure, 9, 25%, FAST-pw, 0.25, 59.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 25%, Fastazi-S, 0.25, 59.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 25%, Fastazi-P, 0.25, 59.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 25%, Random, 0.25, 59.0, 0.04774011299435028, 0.08693502824858758, NA, NA, 27, 0, 3
Closure, 9, 30%, Ekstazi+random, 0.29661016949152536, 70.0, 0.1576190476190476, 0.2812146892655367, NA, NA, 20, 0, 10
Closure, 9, 30%, FAST-pw, 0.29661016949152536, 70.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 30%, Fastazi-S, 0.29661016949152536, 70.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 30%, Fastazi-P, 0.29661016949152536, 70.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 30%, Random, 0.29661016949152536, 70.0, 0.05595238095238095, 0.08693502824858758, NA, NA, 27, 0, 3
Closure, 9, 40%, Ekstazi+random, 0.39830508474576287, 94.0, 0.23670212765957446, 0.43524011299435017, NA, NA, 13, 0, 17
Closure, 9, 40%, FAST-pw, 0.39830508474576287, 94.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 40%, Fastazi-S, 0.39830508474576287, 94.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 40%, Fastazi-P, 0.39830508474576287, 94.0, 0.0, 0.0, NA, NA, 30, 0, 0
Closure, 9, 40%, Random, 0.39830508474576287, 94.0, 0.08528368794326241, 0.174364406779661, NA, NA, 23, 0, 7
Closure, 9, 50%, Ekstazi+random, 0.5, 118.0, 0.31836158192090397, 0.4925141242937851, NA, NA, 10, 0, 20
