Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Codec, 11, 10%, Ekstazi+random, 0.08823529411764705, 3.0, 0.016666666666666666, 0.031862745098039214, NA, NA, 29, 0, 1
Codec, 11, 10%, FAST-pw, 0.08823529411764705, 3.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 10%, Fastazi-S, 0.08823529411764705, 3.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 10%, Fastazi-P, 0.08823529411764705, 3.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 10%, Random, 0.08823529411764705, 3.0, 0.02777777777777778, 0.03284313725490196, NA, NA, 29, 0, 1
Codec, 11, 20%, Ekstazi+random, 0.1764705882352941, 6.0, 0.03333333333333333, 0.06078431372549019, NA, NA, 28, 0, 2
Codec, 11, 20%, FAST-pw, 0.1764705882352941, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 20%, Fastazi-S, 0.1764705882352941, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 20%, Fastazi-P, 0.1764705882352941, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 20%, Random, 0.1764705882352941, 6.0, 0.0638888888888889, 0.14852941176470585, NA, NA, 25, 0, 5
Codec, 11, 25%, Ekstazi+random, 0.23529411764705885, 8.0, 0.06041666666666667, 0.14166666666666664, NA, NA, 25, 0, 5
Codec, 11, 25%, FAST-pw, 0.23529411764705885, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 25%, Fastazi-S, 0.23529411764705885, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 25%, Fastazi-P, 0.23529411764705885, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 25%, Random, 0.23529411764705885, 8.0, 0.11041666666666666, 0.2553921568627451, NA, NA, 21, 0, 9
Codec, 11, 30%, Ekstazi+random, 0.2941176470588235, 10.0, 0.09166666666666669, 0.19166666666666662, NA, NA, 23, 0, 7
Codec, 11, 30%, FAST-pw, 0.2941176470588235, 10.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 30%, Fastazi-S, 0.2941176470588235, 10.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 30%, Fastazi-P, 0.2941176470588235, 10.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 30%, Random, 0.2941176470588235, 10.0, 0.15333333333333335, 0.28039215686274505, NA, NA, 20, 0, 10
Codec, 11, 40%, Ekstazi+random, 0.38235294117647084, 13.0, 0.1371794871794872, 0.278921568627451, NA, NA, 19, 0, 11
Codec, 11, 40%, FAST-pw, 0.38235294117647084, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 40%, Fastazi-S, 0.38235294117647084, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 40%, Fastazi-P, 0.38235294117647084, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 40%, Random, 0.38235294117647084, 13.0, 0.20512820512820512, 0.32549019607843127, NA, NA, 18, 0, 12
Codec, 11, 50%, Ekstazi+random, 0.5, 17.0, 0.20980392156862748, 0.37156862745098046, NA, NA, 14, 0, 16
Codec, 11, 50%, FAST-pw, 0.5, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 50%, Fastazi-S, 0.5, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 50%, Fastazi-P, 0.5, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Codec, 11, 50%, Random, 0.5, 17.0, 0.2519607843137255, 0.34264705882352936, NA, NA, 17, 0, 13
Codec, 11, 60%, Ekstazi+random, 0.588235294117647, 20.0, 0.26166666666666666, 0.40098039215686276, NA, NA, 12, 0, 18
