Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Compress, 9, 10%, Ekstazi+random, 0.09090909090909087, 4.0, 0.07083333333333333, 0.15795454545454543, NA, NA, 25, 0, 5
Compress, 9, 10%, FAST-pw, 0.09090909090909087, 4.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 10%, Fastazi-S, 0.09090909090909087, 4.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 10%, Fastazi-P, 0.09090909090909087, 4.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 10%, Random, 0.09090909090909087, 4.0, 0.10416666666666667, 0.1609848484848485, NA, NA, 25, 0, 5
Compress, 9, 20%, Ekstazi+random, 0.18181818181818174, 8.0, 0.13333333333333333, 0.2424242424242424, NA, NA, 22, 0, 8
Compress, 9, 20%, FAST-pw, 0.18181818181818174, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 20%, Fastazi-S, 0.18181818181818174, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 20%, Fastazi-P, 0.18181818181818174, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 20%, Random, 0.18181818181818174, 8.0, 0.15, 0.19090909090909092, NA, NA, 24, 0, 6
Compress, 9, 25%, Ekstazi+random, 0.25, 11.0, 0.18484848484848485, 0.34621212121212125, NA, NA, 18, 0, 12
Compress, 9, 25%, FAST-pw, 0.25, 11.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 25%, Fastazi-S, 0.25, 11.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 25%, Fastazi-P, 0.25, 11.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 25%, Random, 0.25, 11.0, 0.1712121212121212, 0.21780303030303028, NA, NA, 23, 0, 7
Compress, 9, 30%, Ekstazi+random, 0.29545454545454564, 13.0, 0.21923076923076923, 0.3700757575757576, NA, NA, 17, 0, 13
Compress, 9, 30%, FAST-pw, 0.29545454545454564, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 30%, Fastazi-S, 0.29545454545454564, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 30%, Fastazi-P, 0.29545454545454564, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 30%, Random, 0.29545454545454564, 13.0, 0.18205128205128204, 0.24166666666666664, NA, NA, 22, 0, 8
Compress, 9, 40%, Ekstazi+random, 0.3863636363636365, 17.0, 0.29411764705882354, 0.4818181818181818, NA, NA, 12, 0, 18
Compress, 9, 40%, FAST-pw, 0.3863636363636365, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 40%, Fastazi-S, 0.3863636363636365, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 40%, Fastazi-P, 0.3863636363636365, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 40%, Random, 0.3863636363636365, 17.0, 0.20490196078431372, 0.26325757575757575, NA, NA, 21, 0, 9
Compress, 9, 50%, Ekstazi+random, 0.5, 22.0, 0.3643939393939393, 0.4988636363636364, NA, NA, 11, 0, 19
Compress, 9, 50%, FAST-pw, 0.5, 22.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 50%, Fastazi-S, 0.5, 22.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 50%, Fastazi-P, 0.5, 22.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 50%, Random, 0.5, 22.0, 0.24166666666666664, 0.33749999999999997, NA, NA, 17, 0, 13
Compress, 9, 60%, Ekstazi+random, 0.5909090909090913, 26.0, 0.4064102564102564, 0.5128787878787879, NA, NA, 10, 0, 20
Compress, 9, 60%, FAST-pw, 0.5909090909090913, 26.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 60%, Fastazi-S, 0.5909090909090913, 26.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 60%, Fastazi-P, 0.5909090909090913, 26.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 9, 60%, Random, 0.5909090909090913, 26.0, 0.2782051282051282, 0.38257575757575757, NA, NA, 14, 0, 16
Compress, 9, 70%, Ekstazi+random, 0.6818181818181821, 30.0, 0.4461111111111112, 0.5481060606060607, NA, NA, 7, 0, 23
Compress, 9, 70%, FAST-pw, 0.6818181818181821, 30.0, 0.050000000000000024, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 70%, Fastazi-S, 0.6818181818181821, 30.0, 0.050000000000000024, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 70%, Fastazi-P, 0.6818181818181821, 30.0, 0.050000000000000024, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 70%, Random, 0.6818181818181821, 30.0, 0.31277777777777777, 0.39356060606060606, NA, NA, 13, 0, 17
Compress, 9, 75%, Ekstazi+random, 0.75, 33.0, 0.47525252525252526, 0.5481060606060607, NA, NA, 7, 0, 23
Compress, 9, 75%, FAST-pw, 0.75, 33.0, 0.13636363636363627, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 75%, Fastazi-S, 0.75, 33.0, 0.13636363636363627, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 75%, Fastazi-P, 0.75, 33.0, 0.13636363636363627, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 75%, Random, 0.75, 33.0, 0.3388888888888889, 0.4125, NA, NA, 11, 0, 19
Compress, 9, 80%, Ekstazi+random, 0.7954545454545456, 35.0, 0.4933333333333334, 0.5560606060606061, NA, NA, 6, 0, 24
Compress, 9, 80%, FAST-pw, 0.7954545454545456, 35.0, 0.1857142857142857, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 80%, Fastazi-S, 0.7954545454545456, 35.0, 0.1857142857142857, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 80%, Fastazi-P, 0.7954545454545456, 35.0, 0.1857142857142857, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 80%, Random, 0.7954545454545456, 35.0, 0.3557142857142857, 0.4125, NA, NA, 11, 0, 19
Compress, 9, 90%, Ekstazi+random, 0.8863636363636366, 39.0, 0.5260683760683761, 0.568560606060606, NA, NA, 3, 0, 27
Compress, 9, 90%, FAST-pw, 0.8863636363636366, 39.0, 0.2692307692307692, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 90%, Fastazi-S, 0.8863636363636366, 39.0, 0.2692307692307692, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 90%, Fastazi-P, 0.8863636363636366, 39.0, 0.2692307692307692, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 90%, Random, 0.8863636363636366, 39.0, 0.3927350427350427, 0.43522727272727274, NA, NA, 7, 0, 23
Compress, 9, 100%, Ekstazi+random, 1.0, 44.0, 0.575, 0.575, 19.2, 0.4363636363636364, 0, 1, 30
Compress, 9, 100%, FAST-pw, 1.0, 44.0, 0.35227272727272724, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 100%, Fastazi-S, 1.0, 44.0, 0.35227272727272724, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 100%, Fastazi-P, 1.0, 44.0, 0.35227272727272724, 0.35227272727272724, 29.0, 0.659090909090909, 0, 1, 30
Compress, 9, 100%, Random, 1.0, 44.0, 0.4477272727272727, 0.4477272727272727, 24.8, 0.5636363636363636, 0, 1, 30
Compress, 10, 10%, Ekstazi+random, 0.0576923076923077, 3.0, 0.061111111111111116, 0.09775641025641026, NA, NA, 27, 0, 3
Compress, 10, 10%, FAST-pw, 0.0576923076923077, 3.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 10%, Fastazi-S, 0.0576923076923077, 3.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 10%, Fastazi-P, 0.0576923076923077, 3.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 10%, Random, 0.0576923076923077, 3.0, 0.03888888888888888, 0.09647435897435898, NA, NA, 27, 0, 3
Compress, 10, 20%, Ekstazi+random, 0.1153846153846154, 6.0, 0.10833333333333335, 0.21891025641025638, NA, NA, 23, 0, 7
Compress, 10, 20%, FAST-pw, 0.1153846153846154, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 20%, Fastazi-S, 0.1153846153846154, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 20%, Fastazi-P, 0.1153846153846154, 6.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 20%, Random, 0.1153846153846154, 6.0, 0.06944444444444445, 0.09647435897435898, NA, NA, 27, 0, 3
Compress, 10, 25%, Ekstazi+random, 0.15384615384615383, 8.0, 0.14166666666666666, 0.24743589743589742, NA, NA, 22, 0, 8
Compress, 10, 25%, FAST-pw, 0.15384615384615383, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 25%, Fastazi-S, 0.15384615384615383, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 25%, Fastazi-P, 0.15384615384615383, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 25%, Random, 0.15384615384615383, 8.0, 0.07708333333333334, 0.09647435897435898, NA, NA, 27, 0, 3
Compress, 10, 30%, Ekstazi+random, 0.17307692307692307, 9.0, 0.15740740740740744, 0.2753205128205128, NA, NA, 21, 0, 9
Compress, 10, 30%, FAST-pw, 0.17307692307692307, 9.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 30%, Fastazi-S, 0.17307692307692307, 9.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 30%, Fastazi-P, 0.17307692307692307, 9.0, 0.0, 0.0, NA, NA, 30, 0, 0
Compress, 10, 30%, Random, 0.17307692307692307, 9.0, 0.08148148148148149, 0.12435897435897435, NA, NA, 26, 0, 4
Compress, 10, 40%, Ekstazi+random, 0.25, 13.0, 0.21794871794871795, 0.3544871794871795, NA, NA, 18, 0, 12
Compress, 10, 40%, FAST-pw, 0.25, 13.0, 0.11538461538461539, 0.7788461538461534, 12.0, 0.2307692307692308, 0, 1, 30
