Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Jsoup, 1, 10%, Ekstazi+random, 0.08333333333333333, 1.0, 0.03333333333333333, 0.06388888888888888, NA, NA, 28, 0, 2
Jsoup, 1, 10%, FAST-pw, 0.08333333333333333, 1.0, 0.0, 0.0, NA, NA, 30, 0, 0
Jsoup, 1, 10%, Fastazi-S, 0.08333333333333333, 1.0, 0.0, 0.0, NA, NA, 30, 0, 0
Jsoup, 1, 10%, Fastazi-P, 0.08333333333333333, 1.0, 0.0, 0.0, NA, NA, 30, 0, 0
Jsoup, 1, 10%, Random, 0.08333333333333333, 1.0, 0.05, 0.09583333333333334, NA, NA, 27, 0, 3
Jsoup, 1, 20%, Ekstazi+random, 0.16666666666666666, 2.0, 0.058333333333333334, 0.09305555555555554, NA, NA, 27, 0, 3
Jsoup, 1, 20%, FAST-pw, 0.16666666666666666, 2.0, 0.25, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 20%, Fastazi-S, 0.16666666666666666, 2.0, 0.25, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 20%, Fastazi-P, 0.16666666666666666, 2.0, 0.25, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 20%, Random, 0.16666666666666666, 2.0, 0.08333333333333333, 0.125, NA, NA, 26, 0, 4
Jsoup, 1, 25%, Ekstazi+random, 0.25, 3.0, 0.08333333333333333, 0.14583333333333331, NA, NA, 25, 0, 5
Jsoup, 1, 25%, FAST-pw, 0.25, 3.0, 0.5, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 25%, Fastazi-S, 0.25, 3.0, 0.5, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 25%, Fastazi-P, 0.25, 3.0, 0.5, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 25%, Random, 0.25, 3.0, 0.11666666666666668, 0.20416666666666664, NA, NA, 23, 0, 7
Jsoup, 1, 30%, Ekstazi+random, 0.25, 3.0, 0.08333333333333333, 0.14583333333333331, NA, NA, 25, 0, 5
Jsoup, 1, 30%, FAST-pw, 0.25, 3.0, 0.5, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 30%, Fastazi-S, 0.25, 3.0, 0.5, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 30%, Fastazi-P, 0.25, 3.0, 0.5, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 30%, Random, 0.25, 3.0, 0.11666666666666668, 0.20416666666666664, NA, NA, 23, 0, 7
Jsoup, 1, 40%, Ekstazi+random, 0.3333333333333333, 4.0, 0.10416666666666667, 0.14583333333333331, NA, NA, 25, 0, 5
Jsoup, 1, 40%, FAST-pw, 0.3333333333333333, 4.0, 0.625, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 40%, Fastazi-S, 0.3333333333333333, 4.0, 0.625, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 40%, Fastazi-P, 0.3333333333333333, 4.0, 0.625, 0.875, 2.0, 0.16666666666666666, 0, 1, 30
Jsoup, 1, 40%, Random, 0.3333333333333333, 4.0, 0.15833333333333333, 0.275, NA, NA, 20, 0, 10
Jsoup, 1, 50%, Ekstazi+random, 0.5, 6.0, 0.17499999999999996, 0.33749999999999997, NA, NA, 15, 0, 15
