Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Lang, 14, 10%, Ekstazi+random, 0.09195402298850568, 8.0, 0.027083333333333334, 0.032758620689655175, NA, NA, 29, 0, 1
Lang, 14, 10%, FAST-pw, 0.09195402298850568, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 10%, Fastazi-S, 0.09195402298850568, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 10%, Fastazi-P, 0.09195402298850568, 8.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 10%, Random, 0.09195402298850568, 8.0, 0.06458333333333334, 0.0967432950191571, NA, NA, 27, 0, 3
Lang, 14, 20%, Ekstazi+random, 0.19540229885057478, 17.0, 0.059803921568627454, 0.09214559386973181, NA, NA, 27, 0, 3
Lang, 14, 20%, FAST-pw, 0.19540229885057478, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 20%, Fastazi-S, 0.19540229885057478, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 20%, Fastazi-P, 0.19540229885057478, 17.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 20%, Random, 0.19540229885057478, 17.0, 0.11764705882352941, 0.18390804597701152, NA, NA, 24, 0, 6
Lang, 14, 25%, Ekstazi+random, 0.24137931034482746, 21.0, 0.06746031746031746, 0.09214559386973181, NA, NA, 27, 0, 3
Lang, 14, 25%, FAST-pw, 0.24137931034482746, 21.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 25%, Fastazi-S, 0.24137931034482746, 21.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 25%, Fastazi-P, 0.24137931034482746, 21.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 25%, Random, 0.24137931034482746, 21.0, 0.13412698412698412, 0.20938697318007665, NA, NA, 23, 0, 7
Lang, 14, 30%, Ekstazi+random, 0.2988505747126436, 26.0, 0.07756410256410257, 0.1400383141762452, NA, NA, 25, 0, 5
Lang, 14, 30%, FAST-pw, 0.2988505747126436, 26.0, 0.0, 0.0, NA, NA, 30, 0, 0
Lang, 14, 30%, Fastazi-S, 0.2988505747126436, 26.0, 0.0, 0.0, NA, NA, 30, 0, 0
