Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Math, 5, 10%, Ekstazi+random, 0.09489051094890506, 13.0, 0.02435897435897436, 0.03248175182481752, NA, NA, 29, 0, 1
Math, 5, 10%, FAST-pw, 0.09489051094890506, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Math, 5, 10%, Fastazi-S, 0.09489051094890506, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Math, 5, 10%, Fastazi-P, 0.09489051094890506, 13.0, 0.0, 0.0, NA, NA, 30, 0, 0
Math, 5, 10%, Random, 0.09489051094890506, 13.0, 0.04615384615384615, 0.06472019464720195, NA, NA, 28, 0, 2
Math, 5, 20%, Ekstazi+random, 0.19708029197080285, 27.0, 0.046296296296296294, 0.08941605839416059, NA, NA, 27, 0, 3
Math, 5, 20%, FAST-pw, 0.19708029197080285, 27.0, 0.0, 0.0, NA, NA, 30, 0, 0
Math, 5, 20%, Fastazi-S, 0.19708029197080285, 27.0, 0.0, 0.0, NA, NA, 30, 0, 0
Math, 5, 20%, Fastazi-P, 0.19708029197080285, 27.0, 0.0, 0.0, NA, NA, 30, 0, 0
Math, 5, 20%, Random, 0.19708029197080285, 27.0, 0.09074074074074073, 0.15170316301703163, NA, NA, 25, 0, 5
Math, 5, 25%, Ekstazi+random, 0.24817518248175194, 34.0, 0.07009803921568628, 0.19282238442822386, NA, NA, 23, 0, 7
Math, 5, 25%, FAST-pw, 0.24817518248175194, 34.0, 0.07352941176470587, 0.7700729927007297, 32.0, 0.23357664233576633, 0, 1, 30
Math, 5, 25%, Fastazi-S, 0.24817518248175194, 34.0, 0.07352941176470587, 0.7700729927007297, 32.0, 0.23357664233576633, 0, 1, 30
Math, 5, 25%, Fastazi-P, 0.24817518248175194, 34.0, 0.07352941176470587, 0.7700729927007297, 32.0, 0.23357664233576633, 0, 1, 30
Math, 5, 25%, Random, 0.24817518248175194, 34.0, 0.11176470588235293, 0.1781021897810219, NA, NA, 24, 0, 6
Math, 5, 30%, Ekstazi+random, 0.2992700729927008, 41.0, 0.10365853658536588, 0.24124087591240878, NA, NA, 21, 0, 9
Math, 5, 30%, FAST-pw, 0.2992700729927008, 41.0, 0.23170731707317055, 0.7700729927007297, 32.0, 0.23357664233576633, 0, 1, 30
Math, 5, 30%, Fastazi-S, 0.2992700729927008, 41.0, 0.23170731707317055, 0.7700729927007297, 32.0, 0.23357664233576633, 0, 1, 30
Math, 5, 30%, Fastazi-P, 0.2992700729927008, 41.0, 0.23170731707317055, 0.7700729927007297, 32.0, 0.23357664233576633, 0, 1, 30
Math, 5, 30%, Random, 0.2992700729927008, 41.0, 0.1313008130081301, 0.20279805352798055, NA, NA, 23, 0, 7
Math, 5, 40%, Ekstazi+random, 0.3941605839416057, 54.0, 0.16944444444444443, 0.32931873479318735, NA, NA, 17, 0, 13
Math, 5, 40%, FAST-pw, 0.3941605839416057, 54.0, 0.4166666666666666, 0.7700729927007297, 32.0, 0.23357664233576633, 0, 1, 30
