Project, Version, Budget, Suite, RelBudget, Test count, APFD, APFDf, TTFF, pTTFF, Misses, Hit, HitCount
Time, 4, 10%, Ekstazi+random, 0.09917355371900834, 12.0, 0.015277777777777777, 0.031542699724517904, NA, NA, 29, 0, 1
Time, 4, 10%, FAST-pw, 0.09917355371900834, 12.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 10%, Fastazi-S, 0.09917355371900834, 12.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 10%, Fastazi-P, 0.09917355371900834, 12.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 10%, Random, 0.09917355371900834, 12.0, 0.04444444444444444, 0.06446280991735537, NA, NA, 28, 0, 2
Time, 4, 20%, Ekstazi+random, 0.19834710743801667, 24.0, 0.03263888888888889, 0.08663911845730027, NA, NA, 27, 0, 3
Time, 4, 20%, FAST-pw, 0.19834710743801667, 24.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 20%, Fastazi-S, 0.19834710743801667, 24.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 20%, Fastazi-P, 0.19834710743801667, 24.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 20%, Random, 0.19834710743801667, 24.0, 0.05763888888888889, 0.09159779614325068, NA, NA, 27, 0, 3
Time, 4, 25%, Ekstazi+random, 0.24793388429752053, 30.0, 0.04611111111111111, 0.08663911845730027, NA, NA, 27, 0, 3
Time, 4, 25%, FAST-pw, 0.24793388429752053, 30.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 25%, Fastazi-S, 0.24793388429752053, 30.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 25%, Fastazi-P, 0.24793388429752053, 30.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 25%, Random, 0.24793388429752053, 30.0, 0.07, 0.11763085399449036, NA, NA, 26, 0, 4
Time, 4, 30%, Ekstazi+random, 0.29752066115702475, 36.0, 0.06157407407407407, 0.13539944903581266, NA, NA, 25, 0, 5
Time, 4, 30%, FAST-pw, 0.29752066115702475, 36.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 30%, Fastazi-S, 0.29752066115702475, 36.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 30%, Fastazi-P, 0.29752066115702475, 36.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 30%, Random, 0.29752066115702475, 36.0, 0.08842592592592594, 0.19022038567493116, NA, NA, 23, 0, 7
Time, 4, 40%, Ekstazi+random, 0.39669421487603335, 48.0, 0.10729166666666665, 0.22355371900826443, NA, NA, 21, 0, 9
Time, 4, 40%, FAST-pw, 0.39669421487603335, 48.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 40%, Fastazi-S, 0.39669421487603335, 48.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 40%, Fastazi-P, 0.39669421487603335, 48.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 40%, Random, 0.39669421487603335, 48.0, 0.13993055555555553, 0.2767217630853995, NA, NA, 19, 0, 11
Time, 4, 50%, Ekstazi+random, 0.49586776859504106, 60.0, 0.15222222222222223, 0.2771349862258953, NA, NA, 18, 0, 12
Time, 4, 50%, FAST-pw, 0.49586776859504106, 60.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 50%, Fastazi-S, 0.49586776859504106, 60.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 50%, Fastazi-P, 0.49586776859504106, 60.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 50%, Random, 0.49586776859504106, 60.0, 0.18694444444444447, 0.3111570247933884, NA, NA, 17, 0, 13
Time, 4, 60%, Ekstazi+random, 0.5950413223140495, 72.0, 0.2020833333333334, 0.3227272727272728, NA, NA, 15, 0, 15
Time, 4, 60%, FAST-pw, 0.5950413223140495, 72.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 60%, Fastazi-S, 0.5950413223140495, 72.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 60%, Fastazi-P, 0.5950413223140495, 72.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 60%, Random, 0.5950413223140495, 72.0, 0.23726851851851855, 0.37066115702479335, NA, NA, 13, 0, 17
Time, 4, 70%, Ekstazi+random, 0.6942148760330581, 84.0, 0.24861111111111114, 0.3458677685950413, NA, NA, 13, 0, 17
Time, 4, 70%, FAST-pw, 0.6942148760330581, 84.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 70%, Fastazi-S, 0.6942148760330581, 84.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 70%, Fastazi-P, 0.6942148760330581, 84.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 70%, Random, 0.6942148760330581, 84.0, 0.292063492063492, 0.40661157024793393, NA, NA, 10, 0, 20
Time, 4, 75%, Ekstazi+random, 0.7438016528925618, 90.0, 0.2724074074074074, 0.36487603305785127, NA, NA, 11, 0, 19
Time, 4, 75%, FAST-pw, 0.7438016528925618, 90.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 75%, Fastazi-S, 0.7438016528925618, 90.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 75%, Fastazi-P, 0.7438016528925618, 90.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 75%, Random, 0.7438016528925618, 90.0, 0.3181481481481481, 0.42451790633608816, NA, NA, 8, 0, 22
Time, 4, 80%, Ekstazi+random, 0.7933884297520667, 96.0, 0.296875, 0.3732782369146006, NA, NA, 10, 0, 20
Time, 4, 80%, FAST-pw, 0.7933884297520667, 96.0, 0.0, 0.0, NA, NA, 30, 0, 0
Time, 4, 80%, Fastazi-S, 0.7933884297520667, 96.0, 0.0, 0.0, NA, NA, 30, 0, 0
