Project,Group,Time
Chart,Ekstazi,3224
Cli,Ekstazi,137
Closure,Ekstazi,1571
Codec,Ekstazi,163
Collections,Ekstazi,237
Compress,Ekstazi,309
Gson,Ekstazi,297
Jsoup,Ekstazi,222
JxPath,Ekstazi,227
Lang,Ekstazi,262
Math,Ekstazi,747
Time,Ekstazi,500
Chart,Fast,112
Cli,Fast,10
Closure,Fast,83
Codec,Fast,6
Collections,Fast,29
Compress,Fast,10
Gson,Fast,20
Jsoup,Fast,3
JxPath,Fast,3
Lang,Fast,37
Math,Fast,265
Time,Fast,20
Chart,Fastazi,3259
Cli,Fastazi,147
Closure,Fastazi,1637
Codec,Fastazi,166
Collections,Fastazi,259
Compress,Fastazi,314
Gson,Fastazi,313
Jsoup,Fastazi,224
JxPath,Fastazi,230
Lang,Fastazi,287
Math,Fastazi,907
Time,Fastazi,515
